title,publication_year,authors_list,doi,crossref_type,key
National Survey on the Impact of COVID-19 on the Mental Health of Australian Residential Aged Care Residents and Staff,2021,"Aida Brydon, Sunil Bhar, Colleen Doyle, Frances Batchelor, Harry Lovelock, Helen Almond, Leander Mitchell, Maja Nedeljkovic, Steven Savvas, Viviana Wuthrich",10.1080/07317115.2021.1985671,journal-article,researchgraph.com/doi/10.1080/07317115.2021.1985671
The effects of amphetamines alone and in combination with alcohol on functional neurocognition: A systematic review,2021,"Andrea J. Narayan, Blair Aitken, Luke A. Downey, Amie C. Hayley",10.1016/j.neubiorev.2021.10.003,journal-article,researchgraph.com/doi/10.1016/j.neubiorev.2021.10.003
The prevalence of alcohol use and risky driving practises among individuals who consume sedatives nonmedically: findings from the NESARC-III,2022,"Blair Aitken, Luke A. Downey, Amie C. Hayley",10.1080/00952990.2022.2089992,journal-article,researchgraph.com/doi/10.1080/00952990.2022.2089992
Accuracy of the Securetec DrugWipe 6s Ketamine device in detecting acute and residual salivary ketamine following a stepwise intravenous treatment protocol,2020,"Amie C. Hayley, Maja Green, Michael Keane, Panagiota Kostakis, Yahya Shehabi, Con K. K. Stough, Luke A. Downey",10.1080/00085030.2020.1724248,journal-article,researchgraph.com/doi/10.1080/00085030.2020.1724248
"Acute administration of alprazolam, alcohol and their combination on cognitive performance and mood: A randomised, double-blind, placebo-controlled study",2023,"Blair Aitken, Amie C Hayley, Talitha C Ford, Lauren Geier, Brook A Shiferaw, Luke A Downey",10.1177/02698811231200878,journal-article,researchgraph.com/doi/10.1177/02698811231200878
A semi-naturalistic open-label study examining the effect of prescribed medical cannabis use on simulated driving performance,2024,"Brooke Manning, Thomas R Arkell, Amie C Hayley, Luke A Downey",10.1177/02698811241229524,journal-article,researchgraph.com/doi/10.1177/02698811241229524
"A Semi-Naturalistic, Open-Label Trial Examining the Effect of Prescribed Medical Cannabis on Neurocognitive Performance",2023,"Thomas R. Arkell, Brooke Manning, Luke A. Downey, Amie C. Hayley",10.1007/s40263-023-01046-z,journal-article,researchgraph.com/doi/10.1007/s40263-023-01046-z
The Combined Effects of Alcohol and Benzodiazepines on Driving-Related Neurocognitive Skills: A Systematic Review,2021,"Blair Aitken, Amie C. Hayley, Brook Shiferaw, Luke A. Downey",10.15288/jsad.2021.82.553,journal-article,researchgraph.com/doi/10.15288/jsad.2021.82.553
Is poor self-rated sleep quality associated with elevated systemic inflammation in healthy older adults?,2020,"Kimberley Kira Petrov, Amie Hayley, Sarah Catchlove, Karen Savage, Con Stough",10.1016/j.mad.2020.111388,journal-article,researchgraph.com/doi/10.1016/j.mad.2020.111388
Acute effects of amphetamine and related psychostimulants on impulsivity: a systematic review of clinical trials,2022,"Thomas R. Arkell, Kristina Bradshaw, Luke A. Downey, Amie C. Hayley",10.1111/adb.13128,journal-article,researchgraph.com/doi/10.1111/adb.13128
